,Naive GCD1,Sieve GCD2,Eucli GCD3
0,5.0000089686363935,11.666998034343123,1.0420044418424368
1,2.7909991331398487,7.333001121878624,0.8330098353326321
2,2.1249870769679546,8.95900302566588,0.5830079317092896
3,2.333021257072687,8.834002073854208,0.5830079317092896
4,2.5840126909315586,8.458999218419194,0.9170034900307655
5,3.374996595084667,46.75000673159957,1.0420044418424368
6,11.58300437964499,66.66700937785208,0.7920025382190943
7,3.2500247471034527,68.04100121371448,0.9999785106629133
8,4.04199818149209,73.50000669248402,0.8749775588512421
9,4.458008334040642,62.916980823501945,0.5829788278788328
10,7.208989700302482,559.3749810941517,0.7920025382190943
11,4.750007065013051,913.4580031968653,1.167005393654108
12,4.250003257766366,519.5419944357127,0.37500285543501377
13,52.916991990059614,509.25000687129796,0.4169996827840805
14,17.12498487904668,815.0000066962093,1.4579854905605316
15,58.41700476594269,2921.7079863883555,3.1669915188103914
16,52.83299833536148,7790.125004248694,2.834014594554901
17,30.583003535866737,9096.750000026077,3.583001671358943
18,8.333998266607523,5974.333005724475,1.9999861251562834
19,9.624985978007317,4792.45898895897,1.00000761449337
20,10.082992957904935,68512.87500467151,2.8339854907244444
21,18.999999156221747,55024.333007168025,3.416003892198205
22,37.87499736063182,77199.29100130685,2.04198295250535
23,33.70898775756359,76561.04199122638,2.9999937396496534
24,191.41699885949492,56674.6249969583,2.3329921532422304
